deviceid,latitude,longitude,year,week,category
103,37.58565438,126.94953267999999,2019,45,none
103,37.516861087500004,127.07078353749999,2019,45,"스포츠,오락>종합운동장"
103,37.53928945,127.12688455,2019,45,주택>오피스텔
103,37.56816225,127.02315765,2019,45,"수리,AS>컴퓨터수리"
103,37.53656625,127.12546115,2019,45,none
103,37.5381098,127.12326445,2019,45,none
103,37.5668039,126.9919643,2019,45,"교통,운수>지하철,전철"
103,37.5825383,126.9504543,2019,45,"교통,운수>지하철,전철"
103,37.569323225000005,127.02684011,2019,46,주택>아파트
103,37.5681533375,127.02316015,2019,46,"수리,AS>컴퓨터수리"
103,37.52730093333333,126.91780901666668,2019,46,"시설,건물>기업,빌딩"
103,37.58810205,127.064940475,2019,46,none
103,37.579175975,126.9368253,2019,46,"공공,사회기관>구청"
103,37.556333,126.93454585,2019,46,"서비스,산업>기업"
103,37.56944775,127.02697171666667,2019,47,주택>아파트
103,37.56816015,127.02316780000001,2019,47,"수리,AS>컴퓨터수리"
103,37.5695162,127.030267,2019,47,none
