deviceid,latitude,longitude,year,week,category
318,37.55964191666666,126.84907678333333,2019,49,주택>아파트
318,35.5436637,127.079219,2019,49,none
318,37.5300501,126.9642807,2019,49,"기차,철도>KTX정차역"
318,37.55855375,126.8547487,2019,49,none
318,35.5243883,127.0764215,2019,50,none
318,35.5436452,127.07973589999999,2019,50,none
318,37.55868625,126.83780463333335,2019,50,none
318,37.55859185,126.85484199999999,2019,50,none
318,37.5810647,127.04577012499999,2019,50,none
318,37.541140825,126.970142775,2019,50,none
318,37.3197479,126.8194995,2019,50,"스포츠,오락>종합운동장"
318,37.5653819,126.84841295,2019,50,"시설,건물>기업,빌딩"
318,37.6148809,127.0190906,2019,50,none
318,37.590806,127.0108297,2019,50,주택>오피스텔
318,37.58415995,127.04996415,2019,50,"건강,의료>종합병원"
318,36.8457781,127.1583957,2019,50,none
