deviceid,latitude,longitude,year,week,category
208,37.564924024999996,127.0363069,2019,47,수선>구두수선
208,37.5473095,127.13407025,2019,47,none
208,37.5380507,127.12367295,2019,47,주택>오피스텔
208,37.5488548,127.0163661,2019,47,주택>아파트
208,37.5705016,126.9817197,2019,47,"육류,고기요리>소고기구이"
208,37.570217,126.9880308,2019,47,수선>구두수선
208,37.5647487,126.9879023,2019,47,none
208,37.5406572,127.0711463,2019,48,none
208,37.55145216666667,127.13939126666666,2019,48,none
208,37.56147061666667,127.0382401,2019,48,"육류,고기요리>찜닭"
208,37.5386033,127.1401709,2019,48,none
208,37.5488664,127.0163673,2019,48,주택>아파트
208,37.5854135,127.0193903,2019,48,none
208,37.5648429,126.9879979,2019,48,"시설,건물>기업,빌딩"
208,37.7193022,126.8994206,2019,48,none
208,37.7340101,126.860323,2019,48,none
208,37.52794708333334,126.91799668333334,2019,49,"교통,운수>지하철,전철"
208,37.517317875,127.126452825,2019,49,"여행,명소>도시,테마공원"
208,37.5514426,127.1393887,2019,49,none
208,37.4816366,127.123493,2019,49,"레저,테마>워터파크"
208,37.5614204,127.0382809,2019,49,"육류,고기요리>찜닭"
