deviceid,latitude,longitude,year,week,category
118,37.5309756,127.061834,2019,45,"문화,예술>복합문화공간"
118,37.5379635,127.077092,2019,45,주택>아파트
118,37.5410167,127.07233765,2019,45,병원>종합병원
118,37.53098451666667,127.06182645,2019,46,"문화,예술>복합문화공간"
118,37.5381767,127.0559661,2019,46,"시설,건물>주택"
118,37.5309773875,127.061824975,2019,47,"문화,예술>복합문화공간"
118,37.59102765,127.09771815,2019,47,주택>아파트
118,37.5778263,127.0397861,2019,47,주택>아파트
118,37.530974325,127.0618416,2019,48,"문화,예술>복합문화공간"
118,37.530979875,127.0618667375,2019,49,"문화,예술>복합문화공간"
118,37.5402184,127.0740744,2019,49,"교육,학문>대학교"
118,37.5392428,127.0546246,2019,49,주택>아파트
118,37.53099232142857,127.06185925714286,2019,50,"문화,예술>복합문화공간"
118,37.5455311,127.0545897,2019,50,주택>아파트
118,37.5392428,127.0546246,2019,50,주택>아파트
118,37.530994975,127.06184132499999,2019,51,"문화,예술>복합문화공간"
118,37.3845709,127.130796,2019,51,"공공,사회기관>경로당,노인정"
118,37.3546332,127.18271395,2019,51,주택>아파트
118,37.5356148,126.8986134,2019,51,주택>아파트
118,37.53098523333333,127.06184406666667,2019,52,"문화,예술>복합문화공간"
118,37.530999935714284,127.06180742857144,2020,1,"문화,예술>복합문화공간"
118,37.5987817,127.10046375,2020,1,주택>아파트
118,37.530988058333335,127.06182919999999,2020,2,"문화,예술>복합문화공간"
118,37.53099365,127.0618400125,2020,3,"문화,예술>복합문화공간"
118,37.530994050000004,127.06183543333333,2020,4,"문화,예술>복합문화공간"
118,37.5384214,127.0552954,2020,4,주택>아파트
118,37.530976225,127.061812675,2020,5,"문화,예술>복합문화공간"
118,37.539039,127.0538173,2020,5,주택>아파트
118,37.5400973,127.0522349,2020,5,주택>아파트
118,37.53999025,127.0579681,2020,5,"교육,학문>중학교"
118,37.530978166666664,127.06180540000001,2020,6,"문화,예술>복합문화공간"
118,37.53099098333333,127.06182231666666,2020,7,"문화,예술>복합문화공간"
118,37.5909706,127.097926,2020,7,음악학원>피아노
118,37.53099091666667,127.06182838333332,2020,8,"문화,예술>복합문화공간"
118,37.530989874999996,127.061822075,2020,9,"문화,예술>복합문화공간"
118,37.53102155,127.06182291666666,2020,10,"문화,예술>복합문화공간"
118,37.53100961666667,127.06182304166667,2020,11,"문화,예술>복합문화공간"
118,37.53100355,127.06189074999999,2020,12,"문화,예술>복합문화공간"
118,37.5910202,127.0977919,2020,12,주택>아파트
