deviceid,latitude,longitude,year,week,category
218,37.5707075,126.9736049,2019,47,주택>아파트
218,37.5613899,127.0383625,2019,47,"한식>칼국수,만두"
218,37.5651009,127.036362,2019,47,수선>구두수선
218,37.5715841,126.9748493,2019,47,주택>아파트
218,37.56487835,126.9878326,2019,47,"시설,건물>기업,빌딩"
218,37.56340925,127.0366562,2019,47,"공공,사회기관>구청"
218,37.5677708125,127.06150465,2019,48,주택>아파트
218,37.57176913333333,127.03407835,2019,48,"사회,복지>자활후견기관"
218,37.5613782,127.0382793,2019,48,"한식>칼국수,만두"
218,37.565052,127.0363607,2019,48,수선>구두수선
218,37.5650934,126.9881878,2019,48,"시설,건물>기업,빌딩"
