deviceid,latitude,longitude,year,week,category
207,37.56509415,127.03635555,2019,47,수선>구두수선
207,37.5637095,127.0342663,2019,47,주택>아파트
207,37.57029105,126.98432045,2019,47,수선>구두수선
207,37.57026495,126.98757015,2019,47,"생활,편의>편의점"
207,37.5647797,126.9878143,2019,47,주택>아파트
207,37.4948248,127.0788696,2019,48,주택>아파트
207,37.4404946,127.1443469,2019,48,"시설,건물>기업,빌딩"
207,37.5649949,126.9878022,2019,48,주택>아파트
207,37.5650986,127.03632487499999,2019,49,수선>구두수선
207,37.4404606,127.1443828,2019,49,"시설,건물>기업,빌딩"
207,37.561542,127.0383245,2019,49,"한식>칼국수,만두"
207,37.5634952,127.0367386,2019,49,"공공,사회기관>구청"
207,37.5282336,126.91785165,2019,49,"교통,운수>지하철,전철"
207,37.5600839,127.0139164,2019,49,none
