deviceid,latitude,longitude,year,week,category
209,37.5201372,127.13538405,2019,47,"교육,학문>고등학교"
209,37.5650916,127.036352325,2019,47,수선>구두수선
209,37.55314615,127.1549989,2019,47,"시설,건물>기업,빌딩"
209,37.5607075,127.0383865,2019,47,"육류,고기요리>찜닭"
209,37.5629917,127.0361121,2019,47,none
209,37.55182605,127.0902371,2019,47,none
209,37.537328675,127.13820315000001,2019,48,none
209,37.550259049999994,127.1280683,2019,48,부동산>아파트관리
209,37.55078425,127.097651,2019,48,"공공,사회기관>회관"
209,37.5367197,127.1254696,2019,48,none
209,37.5389221,127.1423377,2019,48,none
209,37.53879415,127.12431695,2019,48,"쇼핑,유통>백화점"
209,37.5869388,127.0188002,2019,48,none
209,37.5982662,127.0912281,2019,48,주택>아파트
